探测器编号 时间 桩号 车速 车牌
D202150120001 2021-04-25T14:57 K31+950 4983 蓝渝FY9761
D202150120001 2021-04-25T14:57 K31+950 4963 蓝渝FCS119
D202150120001 2021-04-25T14:57 K31+950 3881 蓝渝A205XT
D202150120001 2021-04-25T14:56 K31+950 4759 绿渝ADF8577
D202150120001 2021-04-25T14:56 K31+950 4314 蓝渝FNU585
D202150120001 2021-04-25T14:56 K31+950 4648 蓝渝AV89U5
D202150120001 2021-04-25T14:56 K31+950 3423 黄渝A16907D
D202150120001 2021-04-25T14:56 K31+950 4812 蓝渝FE7026
D202150120001 2021-04-25T14:56 K31+950 4684 蓝渝FAJ339
D202150120001 2021-04-25T14:56 K31+950 3898 蓝渝F5D329
D202150120001 2021-04-25T14:56 K31+950 4901 蓝渝F55R25
D202150120001 2021-04-25T14:56 K31+950 4164 蓝渝F6X789
D202150120001 2021-04-25T14:56 K31+950 3807 NO
D202150120001 2021-04-25T14:56 K31+950 4618 蓝渝F05D66
D202150120001 2021-04-25T14:56 K31+950 4263 蓝渝FAG998
D202150120001 2021-04-25T14:56 K31+950 4561 蓝渝D68N77
D202150120001 2021-04-25T14:56 K31+950 3644 蓝渝A80CL0
D202150120001 2021-04-25T14:56 K31+950 4708 蓝渝FDA216
D202150120001 2021-04-25T14:56 K31+950 3814 蓝渝F90Z58
D202150120001 2021-04-25T14:56 K31+950 4452 蓝渝F28N96
D202150120001 2021-04-25T14:55 K31+950 4076 蓝川AW64R3
D202150120001 2021-04-25T14:55 K31+950 3652 NO
D202150120001 2021-04-25T14:55 K31+950 3615 黄渝A71895
D202150120001 2021-04-25T14:55 K31+950 5367 蓝渝DHA961
D202150120001 2021-04-25T14:55 K31+950 2380 蓝渝AB25H8
D202150120001 2021-04-25T14:55 K31+950 3571 黄渝D32518
D202150120001 2021-04-25T14:55 K31+950 3880 黄渝D57258
D202150120001 2021-04-25T14:55 K31+950 4016 蓝渝A166PS
D202150120001 2021-04-25T14:55 K31+950 2019 蓝渝A9TU76
D202150120001 2021-04-25T14:55 K31+950 3820 蓝渝F5H710
D202150120001 2021-04-25T14:55 K31+950 4284 蓝渝FRG218
D202150120001 2021-04-25T14:55 K31+950 4088 蓝渝F0E116
D202150120001 2021-04-25T14:55 K31+950 3924 蓝渝AW93E2
D202150120001 2021-04-25T14:55 K31+950 3330 黄渝A13519D
D202150120001 2021-04-25T14:55 K31+950 4155 蓝渝AV7R98
D202150120001 2021-04-25T14:54 K31+950 3913 绿渝ADD9559
D202150120001 2021-04-25T14:54 K31+950 4708 蓝渝F06816
D202150120001 2021-04-25T14:54 K31+950 3938 蓝渝A9U793
D202150120001 2021-04-25T14:54 K31+950 4024 蓝渝AE609Q
D202150120001 2021-04-25T14:54 K31+950 4775 蓝渝A0NA93
D202150120001 2021-04-25T14:54 K31+950 4954 蓝渝FD7335
D202150120001 2021-04-25T14:54 K31+950 4944 蓝渝D5R731
D202150120001 2021-04-25T14:54 K31+950 3579 NO
D202150120001 2021-04-25T14:54 K31+950 3428 黄渝F05571
D202150120001 2021-04-25T14:54 K31+950 4821 NO
D202150120001 2021-04-25T14:54 K31+950 4717 蓝渝F0B209
D202150120001 2021-04-25T14:54 K31+950 4742 蓝渝AC813E
D202150120001 2021-04-25T14:54 K31+950 4147 蓝渝A5AK56
D202150120001 2021-04-25T14:53 K31+950 3237 蓝渝F1V807
D202150120001 2021-04-25T14:53 K31+950 4582 蓝渝FT5957
D202150120001 2021-04-25T14:53 K31+950 3865 蓝渝FDW681
D202150120001 2021-04-25T14:53 K31+950 3910 蓝渝FFW718
D202150120001 2021-04-25T14:53 K31+950 4116 蓝渝F980A0
D202150120001 2021-04-25T14:53 K31+950 3799 蓝渝AF667K
D202150120001 2021-04-25T14:53 K31+950 4183 蓝渝F3G167
D202150120001 2021-04-25T14:53 K31+950 3831 蓝渝F00P25
D202150120001 2021-04-25T14:53 K31+950 4158 NO
D202150120001 2021-04-25T14:53 K31+950 4976 蓝渝D85K08
D202150120001 2021-04-25T14:53 K31+950 3339 蓝渝A1T58M
D202150120001 2021-04-25T14:53 K31+950 3948 蓝渝D566A3
D202150120001 2021-04-25T14:53 K31+950 4762 蓝渝AB10X7
D202150120001 2021-04-25T14:52 K31+950 5022 蓝渝F3T787
D202150120001 2021-04-25T14:52 K31+950 4244 蓝渝F07U51
D202150120001 2021-04-25T14:52 K31+950 3788 蓝渝AA1945
D202150120001 2021-04-25T14:52 K31+950 3696 蓝冀T15N25
D202150120001 2021-04-25T14:52 K31+950 4516 蓝湘JB1322
D202150120001 2021-04-25T14:52 K31+950 4404 蓝渝DG3209
